x,y,u,v
68.0,4.0,-0.9426847100257874,9.503699839115143
69.0,4.0,0.4805624485015869,9.4623863697052
70.0,4.0,2.146288752555847,8.345693349838257
71.0,4.0,3.956817090511322,6.175488233566284
72.0,4.0,5.798935890197754,3.1228363513946533
73.0,4.0,7.556937634944916,-0.5374476313591003
74.0,4.0,9.123869240283966,-4.4719502329826355
75.0,4.0,10.410882532596588,-8.334368467330933
76.0,4.0,11.357031762599945,-11.812224984169006
77.0,4.0,11.936314404010773,-14.672279357910156
78.0,4.0,12.164190411567688,-16.804784536361694
79.0,4.0,12.10331916809082,-18.271133303642273
80.0,4.0,11.866725981235504,-19.09535378217697
81.0,4.0,11.610239744186401,-18.56379210948944
82.0,4.0,11.464133858680725,-16.202405095100403
83.0,4.0,11.507533490657806,-12.582875788211823
84.0,4.0,11.777766048908234,-8.420608937740326
85.0,4.0,12.276619672775269,-4.305839538574219
86.0,4.0,12.978054583072662,-0.7031485438346863
87.0,4.0,13.834387063980103,2.0457059144973755
88.0,4.0,14.783740043640137,3.722645342350006
89.0,4.0,15.756860375404358,4.236139357089996
90.0,4.0,16.683973371982574,3.6191195249557495
91.0,4.0,17.501898109912872,2.026855945587158
92.0,4.0,18.1608647108078,-0.2608448266983032
93.0,4.0,18.6312198638916,-2.8395652770996094
94.0,4.0,18.911026418209076,-5.1807984709739685
95.0,4.0,19.032247364521027,-6.64200633764267
96.0,4.0,19.065923988819122,-6.9078803062438965
97.0,4.0,19.025877118110657,-6.343163549900055
98.0,4.0,18.834881484508514,-5.239918828010559
99.0,4.0,18.45400780439377,-4.543662071228027
0.0,5.0,-7.100887596607208,20.64879983663559
1.0,5.0,-7.087048143148422,20.396020263433456
2.0,5.0,-6.959903985261917,19.484777003526688
3.0,5.0,-6.847381591796875,18.17885786294937
4.0,5.0,-6.887055933475494,16.80362969636917
5.0,5.0,-7.1419402956962585,15.171654522418976
6.0,5.0,-7.611308246850967,13.18885013461113
7.0,5.0,-8.25006514787674,10.932553559541702
8.0,5.0,-8.985791355371475,8.601322770118713
9.0,5.0,-9.733438491821289,6.465539336204529
10.0,5.0,-10.407716035842896,4.816930741071701
11.0,5.0,-10.933130979537964,3.9191171526908875
12.0,5.0,-11.251959949731827,3.9578601717948914
13.0,5.0,-11.328980326652527,4.990659654140472
14.0,5.0,-11.15553081035614,6.897822022438049
15.0,5.0,-10.74954867362976,9.332075715065002
16.0,5.0,-10.154321789741516,11.667907238006592
17.0,5.0,-9.434632956981659,12.985654175281525
18.0,5.0,-8.662529289722443,12.87657767534256
19.0,5.0,-7.757321000099182,12.023933231830597
20.0,5.0,-6.569474935531616,11.046715080738068
21.0,5.0,-5.0624459981918335,10.023228824138641
22.0,5.0,-3.2858550548553467,8.984468877315521
23.0,5.0,-1.3424083590507507,7.945075631141663
